well,date,value
well_9,5/1/1998,26.72332016
well_9,6/1/1998,38.28080229
well_9,7/1/1998,40.48097826
well_9,8/1/1998,43.05722892
well_9,9/1/1998,58.13888889
well_9,10/1/1998,49.104
well_9,11/1/1998,46.5
well_9,12/1/1998,24.35294118
well_9,1/1/1999,49.69565217
well_9,2/1/1999,58.71372549
well_9,3/1/1999,70.56956522
well_9,4/1/1999,87.27472527
well_9,5/1/1999,52.72205438
well_9,6/1/1999,36.69920319
well_9,7/1/1999,39.92255125
well_9,8/1/1999,36.41266376
well_9,9/1/1999,33.5
well_9,10/1/1999,33.63888889
well_9,11/1/1999,33.6038961
well_9,12/1/1999,38.16094987
well_9,1/1/2000,40.6056701
well_9,2/1/2000,68.29411765
well_9,3/1/2000,69.2755102
well_9,4/1/2000,77.15294118
well_9,5/1/2000,57.29277567
well_9,6/1/2000,56.02389078
well_9,7/1/2000,90.61349693
well_9,8/1/2000,57.92857143
well_9,9/1/2000,93.38976378
well_9,10/1/2000,87.27758007
well_9,11/1/2000,98.57201646
well_9,12/1/2000,98.47580645
well_9,1/1/2001,108.5347826
well_9,2/1/2001,98.33478261
well_9,3/1/2001,89.63138686
well_9,4/1/2001,113.8679245
well_9,5/1/2001,148.4345238
well_9,6/1/2001,176.5109489
well_9,7/1/2001,141.2285714
well_9,8/1/2001,138.1833333
well_9,9/1/2001,95.0
well_9,10/1/2001,66.08888889
well_9,11/1/2001,50.78947368
well_9,12/1/2001,57.45555556
well_9,1/1/2002,80.29223744
well_9,2/1/2002,102.7932692
well_9,3/1/2002,107.3669355
well_9,4/1/2002,82.36
well_9,5/1/2002,87.80555556
well_9,6/1/2002,103.0103093
well_9,7/1/2002,140.6481481
well_9,8/1/2002,93.27074236
well_9,9/1/2002,112.2937853
well_9,10/1/2002,107.5714286
well_9,11/1/2002,170.3070866
well_9,12/1/2002,13.61538462
well_9,1/1/2003,166.7105263
well_9,2/1/2003,149.1570248
well_9,3/1/2003,131.5820896
well_9,4/1/2003,131.8974359
well_9,5/1/2003,153.9541284
well_9,6/1/2003,127.6595745
well_9,7/1/2003,145.3145161
well_9,8/1/2003,168.0241935
well_9,9/1/2003,165.5321101
well_9,10/1/2003,130.0087719
well_9,11/1/2003,112.0413223
well_9,12/1/2003,112.4934211
well_9,1/1/2004,106.9221557
well_9,2/1/2004,106.248366
well_9,3/1/2004,97.87837838
well_9,4/1/2004,84.72619048
well_9,5/1/2004,505.9333333
well_9,6/1/2004,74.84924623
well_9,7/1/2004,91.26521739
well_9,8/1/2004,87.47598253
well_9,9/1/2004,204.6875
well_9,10/1/2004,213.7368421
well_9,11/1/2004,209.0425532
well_9,12/1/2004,199.0686275
well_9,1/1/2005,61.69811321
well_9,2/1/2005,56.94964029
well_9,3/1/2005,39.76829268
well_9,4/1/2005,48.30744337
well_9,5/1/2005,49.48
well_9,6/1/2005,44.85761589
well_9,7/1/2005,45.89970501
well_9,8/1/2005,54.48201439
well_9,9/1/2005,62.28947368
well_9,10/1/2005,55.34599156
well_9,11/1/2005,73.11864407
well_9,12/1/2005,59.18859649
well_9,1/1/2006,50.18930041
well_9,2/1/2006,40.93560606
well_9,3/1/2006,39.41258741
well_9,4/1/2006,41.22181818
well_9,5/1/2006,47.84051724
well_9,6/1/2006,55.11297071
well_9,7/1/2006,57.07112971
well_9,8/1/2006,60.40825688
well_9,9/1/2006,50.53266332
well_9,10/1/2006,58.9
well_9,11/1/2006,61.16666667
well_9,12/1/2006,65.87292818
well_9,1/1/2007,56.88207547
well_9,2/1/2007,64.10059172
well_9,3/1/2007,60.72164948
well_9,4/1/2007,55.85945946
well_9,5/1/2007,46.81675393
well_9,6/1/2007,45.47282609
well_9,7/1/2007,43.75252525
well_9,8/1/2007,52.80874317
well_9,9/1/2007,54.44378698
well_9,10/1/2007,302.5757576
well_9,11/1/2007,126.0632911
well_9,12/1/2007,164.880597
well_9,1/1/2008,97.91089109
well_9,2/1/2008,53.61490683
well_9,3/1/2008,109.0983607
well_9,4/1/2008,65.59756098
well_9,5/1/2008,98.44594595
well_9,6/1/2008,90.70873786
well_9,7/1/2008,76.71527778
well_9,8/1/2008,85.44776119
well_9,9/1/2008,115.8656716
well_9,10/1/2008,131.8541667
well_9,11/1/2008,129.4634146
well_9,12/1/2008,118.6086957
well_9,1/1/2009,120.12
well_9,2/1/2009,120.4545455
well_9,3/1/2009,64.5
well_9,4/1/2009,65.71698113
well_9,5/1/2009,63.04347826
well_9,6/1/2009,48.3
well_9,7/1/2009,43.35555556
well_9,8/1/2009,18.65
well_9,9/1/2009,13.07777778
well_9,10/1/2009,56.83333333
well_9,11/1/2009,91.125
well_9,12/1/2009,84.27777778
well_9,1/1/2010,99.525
well_9,2/1/2010,116.7307692
well_9,3/1/2010,285.0
well_9,4/1/2010,132.4210526
well_9,5/1/2010,82.8
well_9,6/1/2010,45.84210526
well_9,7/1/2010,52.25531915
well_9,8/1/2010,56.5483871
well_9,9/1/2010,62.03571429
well_9,10/1/2010,50.51515152
well_9,11/1/2010,54.22641509
well_9,12/1/2010,61.25531915
well_9,1/1/2011,67.85106383
well_9,2/1/2011,46.5
well_9,3/1/2011,53.27272727
well_9,4/1/2011,0.0
